"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","2015","8","1","291.574229136213","286.497939367036","284.624907449898","282.177714944886","281.095308679512"
"2","2015","8","2","290.997416986378","286.368275025053","284.728214353536","282.323649345108","281.095308679512"
"3","2015","8","3","291.426563044061","286.325362022746","284.79268715791","282.465770985329","281.095308679512"
"4","2015","8","4","292.695680911345","286.46498806087","284.860765989375","282.596155630797","281.095308679512"
"5","2015","8","5","291.022758218816","286.546629233119","284.96163663805","282.724083471061","281.095308679512"
"6","2015","8","6","289.43336445047","286.386246119365","285.029277741053","282.849321243559","281.095308679512"
"7","2015","8","7","289.613596668749","286.238311944412","285.051770926351","282.970781133263","281.095308679512"
"8","2015","8","8","290.630129035091","286.257893013463","285.065611957212","283.096834306178","281.095308679512"
"9","2015","8","9","291.379369572629","286.368620570717","285.10693902134","283.213027245177","281.095308679512"
"10","2015","8","10","291.280018058634","286.485241482123","285.171609210797","283.322068754692","281.095308679512"
"11","2015","8","11","291.709739558295","286.620021792572","285.250728292825","283.432424622904","281.095308679512"
"12","2015","8","12","290.92641176595","286.672100971749","285.354773171421","283.554146273743","281.095308679512"
"13","2015","8","13","290.748437383815","286.705750327516","285.450108187313","283.673915647335","281.095308679512"
"14","2015","8","14","290.672098498818","286.718237456999","285.525821291623","283.790906256447","281.095308679512"
"15","2015","8","15","292.688730493937","286.866284835525","285.603176386594","283.901236189855","281.095308679512"
"16","2015","8","16","293.65950152968","287.180749328116","285.717580842973","284.008276557251","281.095308679512"
"17","2015","8","17","294.200031668578","287.483363622735","285.880614231273","284.120531858397","281.095308679512"
"18","2015","8","18","294.970299932941","287.757863067499","286.058789800062","284.235276960945","281.095308679512"
"19","2015","8","19","295.014587516276","288.019881928532","286.247430423083","284.353026188453","281.095308679512"
"20","2015","8","20","294.778640044072","288.215799660628","286.433932027996","284.47546251234","281.095308679512"
"21","2015","8","21","293.996169275329","288.337082990803","286.607909042635","284.602359466021","281.095308679512"
"22","2015","8","22","293.22386722485","288.361845791767","286.754018504666","284.730161495357","281.095308679512"
"23","2015","8","23","293.6391444532","288.413328193835","286.879081889289","284.856007507152","281.095308679512"
"24","2015","8","24","294.027507847157","288.529613533159","286.992962186639","284.981608499995","281.095308679512"
"25","2015","8","25","294.028862747171","288.689076385465","287.110597899095","285.10464571298","281.095308679512"
"26","2015","8","26","293.334089705335","288.77455271831","287.249039706575","285.224922352332","281.095308679512"
"27","2015","8","27","291.062859373705","288.677488411352","287.35709932841","285.348075180401","281.095308679512"
"28","2015","8","28","289.678410658839","288.376427991855","287.393547151975","285.468787599609","281.095308679512"
"29","2015","8","29","290.286820257287","288.221404791968","287.37385949154","285.575140371065","281.095308679512"
"30","2015","8","30","291.6684163182","288.26969524919","287.35501194519","285.675344670791","281.095308679512"
"31","2015","8","31","292.730054510553","288.435370358667","287.380316330042","285.766010624752","281.095308679512"
"32","2015","9","1","293.128481171323","288.669535910229","287.454417213399","285.851179483376","281.095308679512"
"33","2015","9","2","292.719963999919","288.777909594078","287.546473492193","285.935994521199","281.095308679512"
"34","2015","9","3","293.960582240719","288.952165142208","287.639088426977","286.020785725623","281.095308679512"
"35","2015","9","4","293.675194532447","289.156490359174","287.755541157216","286.1032122914","281.095308679512"
"36","2015","9","5","291.391562772496","289.098403194186","287.861854114584","286.192559970774","281.095308679512"
"37","2015","9","6","291.472723884983","288.954124050713","287.91177685598","286.274723495786","281.095308679512"
"38","2015","9","7","293.330987365177","289.067535393988","287.95590165963","286.353106877421","281.095308679512"
"39","2015","9","8","294.854838231491","289.343052450159","288.034378885632","286.431055649347","281.095308679512"
"40","2015","9","9","295.671310839165","289.743772010992","288.169503228918","286.514360474302","281.095308679512"
"41","2015","9","10","294.639245970039","290.039794861189","288.356076463642","286.598045272169","281.095308679512"
"42","2015","9","11","292.106816947845","289.942408851779","288.524526037998","286.688473665174","281.095308679512"
"43","2015","9","12","290.061696095633","289.548632296839","288.606788793412","286.782770440286","281.095308679512"
"44","2015","9","13","291.093750461142","289.386511846466","288.600503306902","286.874781378898","281.095308679512"
"45","2015","9","14","289.304091425759","289.226953014765","288.58172098985","286.954435698222","281.095308679512"
"46","2015","9","15","288.571010870886","288.858669441955","288.509294326392","287.035170631664","281.095308679512"
"47","2015","9","16","290.45651997268","288.821326273018","288.416291691206","287.098570532225","281.095308679512"
"48","2015","9","17","291.635522710451","288.992331641002","288.381962115397","287.148918491206","281.095308679512"
"49","2015","9","18","291.793000621607","289.148379376595","288.397867241153","287.197488346876","281.095308679512"
"50","2015","9","19","291.377009968972","289.228734627369","288.440676124989","287.2428540086","281.095308679512"
"51","2015","9","20","291.829994418272","289.333596631966","288.486272111997","287.291071223444","281.095308679512"
"52","2015","9","21","286.300757619467","288.934249024277","288.507701654362","287.334723932407","281.095308679512"
"53","2015","9","22","286.22513945782","288.343945578779","288.394362728778","287.369310444516","281.095308679512"
"54","2015","9","23","286.125378331373","287.961474832704","288.225236193516","287.390929732633","281.095308679512"
"55","2015","9","24","288.058915106876","287.92313312766","288.068081881685","287.393945118575","281.095308679512"
"56","2015","9","25","287.535124426534","287.982878694742","287.971067208564","287.385018976428","281.095308679512"
"57","2015","9","26","285.938655886524","287.7240086068","287.879790679476","287.378222604806","281.095308679512"
"58","2015","9","27","284.514080008595","287.340921126073","287.753175723857","287.353579969106","281.095308679512"
"59","2015","9","28","286.704728370815","287.178273471027","287.596744186846","287.328991824902","281.095308679512"
"60","2015","9","29","290.797560853149","287.658238112966","287.5197252966","287.28752241827","281.095308679512"
"61","2015","9","30","291.692473324993","288.35079712065","287.602360232071","287.259805120974","281.095308679512"
"62","2015","10","1","285.93313138476","288.161378307448","287.747904840516","287.238555757485","281.095308679512"
"63","2015","10","2","283.323134045798","287.308936962614","287.679112084692","287.232594886384","281.095308679512"
"64","2015","10","3","281.632432654457","286.455173464963","287.430607476401","287.213161712166","281.095308679512"
"65","2015","10","4","281.937141164806","285.794646835634","287.089305916078","287.158946847798","281.095308679512"
"66","2015","10","5","282.137833318175","285.48836133557","286.762512964877","287.086574205553","281.095308679512"
"67","2015","10","6","283.950241936637","285.453906120074","286.499003920488","286.995803196928","281.095308679512"
"68","2015","10","7","284.690589330268","285.595923007482","286.332779147775","286.897750291508","281.095308679512"
"69","2015","10","8","285.883507393524","285.831565004216","286.249113425606","286.794857446669","281.095308679512"
"70","2015","10","9","284.165731760096","285.732584274093","286.207963754859","286.69762504795","281.095308679512"
"71","2015","10","10","284.068055652979","285.62812554269","286.13995106732","286.608346117511","281.095308679512"
"72","2015","10","11","281.265431863357","284.946062156888","286.00094665357","286.515673659425","281.095308679512"
"73","2015","10","12","284.937944179019","284.915891852211","285.794000453564","286.415843410245","281.095308679512"
"74","2015","10","13","286.316323570344","285.479102109427","285.728629500509","286.311665821027","281.095308679512"
"75","2015","10","14","286.308152482839","285.824024072595","285.771234450366","286.218237957967","281.095308679512"
"76","2015","10","15","283.023278692697","285.429525398307","285.794971690516","286.138657110767","281.095308679512"
"77","2015","10","16","282.375761048814","284.878850581918","285.677291781092","286.065534436959","281.095308679512"
"78","2015","10","17","280.678341243288","284.372920748754","285.48958750306","285.983235145995","281.095308679512"
"79","2015","10","18","277.887596070227","283.566380613275","285.208598793449","285.888446232001","281.095308679512"
"80","2015","10","19","276.896249599554","282.757165568407","284.835375949248","285.775810062513","281.095308679512"
"81","2015","10","20","277.595937341544","282.072047476324","284.411777192134","285.638759197493","281.095308679512"
"82","2015","10","21","283.086961945562","282.571942889429","284.089158830117","285.482032858264","281.095308679512"
"83","2015","10","22","284.461242900021","283.387093470487","284.012093033686","285.326887709876","281.095308679512"
"84","2015","10","23","282.706099309662","283.820757418113","284.085334094244","285.183913389078","281.095308679512"
"85","2015","10","24","278.589349494825","283.036376390759","284.064566583474","285.058490287539","281.095308679512"
"86","2015","10","25","281.145346708932","282.550850323459","283.88122150767","284.93902294114","281.095308679512"
"87","2015","10","26","280.444464325344","282.679367544234","283.741986923677","284.811992802522","281.095308679512"
"88","2015","10","27","278.443762776073","282.172463622732","283.571955354796","284.68599495654","281.095308679512"
"89","2015","10","28","277.931813823341","281.611368824283","283.334673385969","284.554708293473","281.095308679512"
"90","2015","10","29","285.589369542219","282.210475882893","283.110125615854","284.415093780833","281.095308679512"
"91","2015","10","30","282.041386142123","283.165952481157","283.211236860949","284.281688974019","281.095308679512"
"92","2015","10","31","278.567497614654","282.329484090558","283.216135205546","284.165573941926","281.095308679512"
"93","2015","11","1","279.968467233618","281.774719851626","283.033025717327","284.052527558776","281.095308679512"
"94","2015","11","2","282.189688560512","282.021372354087","282.881738746242","283.931713803623","281.095308679512"
"95","2015","11","3","282.108292320302","282.302775812389","282.846664464879","283.815354481437","281.095308679512"
"96","2015","11","4","282.753505997902","282.560568775322","282.856168680305","283.708938418001","281.095308679512"
"97","2015","11","5","283.740280282601","282.843356631966","282.908059800865","283.615657944071","281.095308679512"
"98","2015","11","6","286.989842393439","283.70106954007","283.048771602891","283.537793946129","281.095308679512"
"99","2015","11","7","286.121586158198","284.514749269981","283.350014044125","283.485054563019","281.095308679512"
"100","2015","11","8","279.507098472372","283.511204470611","283.524253017595","283.467849077336","281.095308679512"
"101","2015","11","9","277.930639992834","282.162984819069","283.347160079774","283.450132106915","281.095308679512"
"102","2015","11","10","278.390609703809","281.366382255808","283.004331586098","283.410724244513","281.095308679512"
"103","2015","11","11","280.508617642977","281.468555596946","282.70079560748","283.335851735909","281.095308679512"
"104","2015","11","12","280.910808107941","281.586210250321","282.519582509551","283.256944569507","281.095308679512"
"105","2015","11","13","281.695955148182","281.862622862029","282.424134528871","283.169777815253","281.095308679512"
"106","2015","11","14","278.441911287124","281.440890079804","282.354151298603","283.084120310969","281.095308679512"
"107","2015","11","15","276.65490360038","280.491956577891","282.115068451931","282.994336046256","281.095308679512"
"108","2015","11","16","277.702099904602","279.926368993099","281.779640074156","282.89006047682","281.095308679512"
"109","2015","11","17","276.926037500002","279.86943050332","281.503636449756","282.764407934741","281.095308679512"
"110","2015","11","18","275.277146478805","279.171052871269","281.218763694899","282.631306897873","281.095308679512"
"111","2015","11","19","276.773992000667","278.529380678971","280.849909280536","282.48175444711","281.095308679512"
"112","2015","11","20","283.040432757163","280.084404781939","280.680976925353","282.320394792167","281.095308679512"
"113","2015","11","21","277.254985027827","280.265768839571","280.81277634031","282.174327868119","281.095308679512"
"114","2015","11","22","276.873210425378","279.430193982209","280.726803169027","282.041071380929","281.095308679512"
"115","2015","11","23","275.926163778192","279.016611976804","280.53990074104","281.911721649925","281.095308679512"
"116","2015","11","24","273.91189565717","278.162006517263","280.272583202839","281.769289942779","281.095308679512"
"117","2015","11","25","273.039032295514","277.046641513927","279.875024821615","281.614788797924","281.095308679512"
"118","2015","11","26","274.018371510941","276.56210213126","279.432152519389","281.438465025418","281.095308679512"
"119","2015","11","27","278.62689461296","277.170441340824","279.119531321044","281.240336666911","281.095308679512"
"120","2015","11","28","281.086967113675","278.867739659159","279.146590982482","281.051895687537","281.095308679512"
"121","2015","11","29","276.975004351342","278.962179436704","279.352307244588","280.89753579092","281.095308679512"
"122","2015","11","30","273.716698033894","277.769402871264","279.320243425458","280.766750549051","281.095308679512"
"123","2015","12","1","272.479833268991","276.600718257589","279.054170655213","280.63171948733","281.095308679512"
"124","2015","12","2","274.326523254392","275.982549494962","278.703129488823","280.485732357962","281.095308679512"
"125","2015","12","3","276.305512127283","276.463440494127","278.421112880228","280.322701397545","281.095308679512"
"126","2015","12","4","274.869278675482","276.512987842384","278.25359929679","280.157156386969","281.095308679512"
"127","2015","12","5","274.892911819024","276.415710639198","278.091287103847","279.992821672407","281.095308679512"
"128","2015","12","6","274.81570999027","276.343472340466","277.946164858151","279.830100762774","281.095308679512"
"129","2015","12","7","274.693309129887","276.205862333771","277.809684786664","279.672754141634","281.095308679512"
"130","2015","12","8","274.476744068271","276.053550140448","277.673280194602","279.519248192513","281.095308679512"
"131","2015","12","9","273.941255337013","275.829211320611","277.535843792595","279.366268481134","281.095308679512"
"132","2015","12","10","275.15685389825","275.6313707494","277.372278923373","279.216520591207","281.095308679512"
"133","2015","12","11","277.498848054871","276.283718764759","277.306180808479","279.070113042059","281.095308679512"
"134","2015","12","12","278.787252358458","277.158949107834","277.396669747663","278.944406316529","281.095308679512"
"135","2015","12","13","278.970730360389","277.745575458647","277.595334161956","278.838989145324","281.095308679512"
"136","2015","12","14","279.963939562625","278.267550465719","277.832215454947","278.766834546259","281.095308679512"
"137","2015","12","15","282.593970576103","279.635823979578","278.1746606717","278.726615693905","281.095308679512"
"138","2015","12","16","277.649855532814","279.367373692996","278.584850201716","278.725349469098","281.095308679512"
"139","2015","12","17","276.415478672183","278.083185479652","278.605763794166","278.740662515056","281.095308679512"
"140","2015","12","18","280.139082318794","278.516865823167","278.52740145116","278.753248665532","281.095308679512"
"141","2015","12","19","275.663383723266","278.301582560142","278.579040559812","278.758411922718","281.095308679512"
"142","2015","12","20","273.935899983486","277.050405119133","278.385823560183","278.764769773149","281.095308679512"
"143","2015","12","21","273.081652480959","276.214195941025","278.06626872515","278.740189476005","281.095308679512"
"144","2015","12","22","276.238070389607","275.987180190288","277.735786966195","278.685014770506","281.095308679512"
"145","2015","12","23","279.5496097937","277.169735056841","277.623590079307","278.620183331703","281.095308679512"
"146","2015","12","24","283.712713918173","278.790698906645","277.816450676847","278.568305757775","281.095308679512"
"147","2015","12","25","281.196543719493","280.120958678611","278.336577989787","278.550131384017","281.095308679512"
"148","2015","12","26","278.453360506375","279.507512092639","278.685457506917","278.579879157573","281.095308679512"
"149","2015","12","27","277.730973126181","278.532642245488","278.725050327273","278.623769910689","281.095308679512"
"150","2015","12","28","276.028414934387","278.148187593765","278.640431330768","278.656020708516","281.095308679512"
"151","2015","12","29","272.83668130243","277.044932571894","278.417654522795","278.67791675005","281.095308679512"
"152","2015","12","30","272.94566497115","276.544573531124","278.119773386918","278.665746036547","281.095308679512"
"153","2015","12","31","273.529962032081","276.102406793869","277.823176539162","278.63083085139","281.095308679512"
"154",NA,NA,NA,NA,NA,NA,NA,NA
"155",NA,NA,NA,NA,NA,NA,NA,NA
"156",NA,NA,NA,NA,NA,NA,NA,NA
"157",NA,NA,NA,NA,NA,NA,NA,NA
"158",NA,NA,NA,NA,NA,NA,NA,NA
"159",NA,NA,NA,NA,NA,NA,NA,NA
"160",NA,NA,NA,NA,NA,NA,NA,NA
"161",NA,NA,NA,NA,NA,NA,NA,NA
"162",NA,NA,NA,NA,NA,NA,NA,NA
"163",NA,NA,NA,NA,NA,NA,NA,NA
"164",NA,NA,NA,NA,NA,NA,NA,NA
"165",NA,NA,NA,NA,NA,NA,NA,NA
"166",NA,NA,NA,NA,NA,NA,NA,NA
"167",NA,NA,NA,NA,NA,NA,NA,NA
"168",NA,NA,NA,NA,NA,NA,NA,NA
"169",NA,NA,NA,NA,NA,NA,NA,NA
"170",NA,NA,NA,NA,NA,NA,NA,NA
"171",NA,NA,NA,NA,NA,NA,NA,NA
"172",NA,NA,NA,NA,NA,NA,NA,NA
"173",NA,NA,NA,NA,NA,NA,NA,NA
"174",NA,NA,NA,NA,NA,NA,NA,NA
"175",NA,NA,NA,NA,NA,NA,NA,NA
"176",NA,NA,NA,NA,NA,NA,NA,NA
"177",NA,NA,NA,NA,NA,NA,NA,NA
"178",NA,NA,NA,NA,NA,NA,NA,NA
"179",NA,NA,NA,NA,NA,NA,NA,NA
"180",NA,NA,NA,NA,NA,NA,NA,NA
"181",NA,NA,NA,NA,NA,NA,NA,NA
"182",NA,NA,NA,NA,NA,NA,NA,NA
"183",NA,NA,NA,NA,NA,NA,NA,NA
"184",NA,NA,NA,NA,NA,NA,NA,NA
"185",NA,NA,NA,NA,NA,NA,NA,NA
"186",NA,NA,NA,NA,NA,NA,NA,NA
"187",NA,NA,NA,NA,NA,NA,NA,NA
"188",NA,NA,NA,NA,NA,NA,NA,NA
"189",NA,NA,NA,NA,NA,NA,NA,NA
"190",NA,NA,NA,NA,NA,NA,NA,NA
"191",NA,NA,NA,NA,NA,NA,NA,NA
"192",NA,NA,NA,NA,NA,NA,NA,NA
"193",NA,NA,NA,NA,NA,NA,NA,NA
"194",NA,NA,NA,NA,NA,NA,NA,NA
"195",NA,NA,NA,NA,NA,NA,NA,NA
"196",NA,NA,NA,NA,NA,NA,NA,NA
"197",NA,NA,NA,NA,NA,NA,NA,NA
"198",NA,NA,NA,NA,NA,NA,NA,NA
"199",NA,NA,NA,NA,NA,NA,NA,NA
"200",NA,NA,NA,NA,NA,NA,NA,NA
"201",NA,NA,NA,NA,NA,NA,NA,NA
"202",NA,NA,NA,NA,NA,NA,NA,NA
"203",NA,NA,NA,NA,NA,NA,NA,NA
"204",NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,NA,NA,NA,NA,NA,NA,NA
"206",NA,NA,NA,NA,NA,NA,NA,NA
"207",NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,NA,NA,NA,NA,NA,NA,NA
"209",NA,NA,NA,NA,NA,NA,NA,NA
"210",NA,NA,NA,NA,NA,NA,NA,NA
"211",NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,NA,NA,NA,NA,NA,NA
"219",NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,NA,NA,NA,NA,NA,NA,NA
"226",NA,NA,NA,NA,NA,NA,NA,NA
"227",NA,NA,NA,NA,NA,NA,NA,NA
"228",NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,NA,NA,NA,NA,NA,NA,NA
"233",NA,NA,NA,NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,NA,NA,NA,NA,NA,NA,NA
"237",NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,NA,NA,NA,NA,NA,NA,NA
"239",NA,NA,NA,NA,NA,NA,NA,NA
"240",NA,NA,NA,NA,NA,NA,NA,NA
"241",NA,NA,NA,NA,NA,NA,NA,NA
"242",NA,NA,NA,NA,NA,NA,NA,NA
"243",NA,NA,NA,NA,NA,NA,NA,NA
"244",NA,NA,NA,NA,NA,NA,NA,NA
"245",NA,NA,NA,NA,NA,NA,NA,NA
"246",NA,NA,NA,NA,NA,NA,NA,NA
"247",NA,NA,NA,NA,NA,NA,NA,NA
"248",NA,NA,NA,NA,NA,NA,NA,NA
"249",NA,NA,NA,NA,NA,NA,NA,NA
"250",NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,NA,NA,NA,NA,NA,NA,NA
"252",NA,NA,NA,NA,NA,NA,NA,NA
"253",NA,NA,NA,NA,NA,NA,NA,NA
"254",NA,NA,NA,NA,NA,NA,NA,NA
"255",NA,NA,NA,NA,NA,NA,NA,NA
"256",NA,NA,NA,NA,NA,NA,NA,NA
"257",NA,NA,NA,NA,NA,NA,NA,NA
"258",NA,NA,NA,NA,NA,NA,NA,NA
"259",NA,NA,NA,NA,NA,NA,NA,NA
"260",NA,NA,NA,NA,NA,NA,NA,NA
"261",NA,NA,NA,NA,NA,NA,NA,NA
"262",NA,NA,NA,NA,NA,NA,NA,NA
"263",NA,NA,NA,NA,NA,NA,NA,NA
"264",NA,NA,NA,NA,NA,NA,NA,NA
"265",NA,NA,NA,NA,NA,NA,NA,NA
"266",NA,NA,NA,NA,NA,NA,NA,NA
"267",NA,NA,NA,NA,NA,NA,NA,NA
"268",NA,NA,NA,NA,NA,NA,NA,NA
"269",NA,NA,NA,NA,NA,NA,NA,NA
"270",NA,NA,NA,NA,NA,NA,NA,NA
"271",NA,NA,NA,NA,NA,NA,NA,NA
"272",NA,NA,NA,NA,NA,NA,NA,NA
"273",NA,NA,NA,NA,NA,NA,NA,NA
"274",NA,NA,NA,NA,NA,NA,NA,NA
"275",NA,NA,NA,NA,NA,NA,NA,NA
"276",NA,NA,NA,NA,NA,NA,NA,NA
"277",NA,NA,NA,NA,NA,NA,NA,NA
"278",NA,NA,NA,NA,NA,NA,NA,NA
"279",NA,NA,NA,NA,NA,NA,NA,NA
"280",NA,NA,NA,NA,NA,NA,NA,NA
"281",NA,NA,NA,NA,NA,NA,NA,NA
"282",NA,NA,NA,NA,NA,NA,NA,NA
"283",NA,NA,NA,NA,NA,NA,NA,NA
"284",NA,NA,NA,NA,NA,NA,NA,NA
"285",NA,NA,NA,NA,NA,NA,NA,NA
"286",NA,NA,NA,NA,NA,NA,NA,NA
"287",NA,NA,NA,NA,NA,NA,NA,NA
"288",NA,NA,NA,NA,NA,NA,NA,NA
"289",NA,NA,NA,NA,NA,NA,NA,NA
"290",NA,NA,NA,NA,NA,NA,NA,NA
"291",NA,NA,NA,NA,NA,NA,NA,NA
"292",NA,NA,NA,NA,NA,NA,NA,NA
"293",NA,NA,NA,NA,NA,NA,NA,NA
"294",NA,NA,NA,NA,NA,NA,NA,NA
"295",NA,NA,NA,NA,NA,NA,NA,NA
"296",NA,NA,NA,NA,NA,NA,NA,NA
"297",NA,NA,NA,NA,NA,NA,NA,NA
"298",NA,NA,NA,NA,NA,NA,NA,NA
"299",NA,NA,NA,NA,NA,NA,NA,NA
"300",NA,NA,NA,NA,NA,NA,NA,NA
"301",NA,NA,NA,NA,NA,NA,NA,NA
"302",NA,NA,NA,NA,NA,NA,NA,NA
"303",NA,NA,NA,NA,NA,NA,NA,NA
"304",NA,NA,NA,NA,NA,NA,NA,NA
"305",NA,NA,NA,NA,NA,NA,NA,NA
"306",NA,NA,NA,NA,NA,NA,NA,NA
"307",NA,NA,NA,NA,NA,NA,NA,NA
"308",NA,NA,NA,NA,NA,NA,NA,NA
"309",NA,NA,NA,NA,NA,NA,NA,NA
"310",NA,NA,NA,NA,NA,NA,NA,NA
"311",NA,NA,NA,NA,NA,NA,NA,NA
"312",NA,NA,NA,NA,NA,NA,NA,NA
"313",NA,NA,NA,NA,NA,NA,NA,NA
"314",NA,NA,NA,NA,NA,NA,NA,NA
"315",NA,NA,NA,NA,NA,NA,NA,NA
"316",NA,NA,NA,NA,NA,NA,NA,NA
"317",NA,NA,NA,NA,NA,NA,NA,NA
"318",NA,NA,NA,NA,NA,NA,NA,NA
"319",NA,NA,NA,NA,NA,NA,NA,NA
"320",NA,NA,NA,NA,NA,NA,NA,NA
"321",NA,NA,NA,NA,NA,NA,NA,NA
"322",NA,NA,NA,NA,NA,NA,NA,NA
"323",NA,NA,NA,NA,NA,NA,NA,NA
"324",NA,NA,NA,NA,NA,NA,NA,NA
"325",NA,NA,NA,NA,NA,NA,NA,NA
"326",NA,NA,NA,NA,NA,NA,NA,NA
"327",NA,NA,NA,NA,NA,NA,NA,NA
"328",NA,NA,NA,NA,NA,NA,NA,NA
"329",NA,NA,NA,NA,NA,NA,NA,NA
"330",NA,NA,NA,NA,NA,NA,NA,NA
"331",NA,NA,NA,NA,NA,NA,NA,NA
"332",NA,NA,NA,NA,NA,NA,NA,NA
"333",NA,NA,NA,NA,NA,NA,NA,NA
"334",NA,NA,NA,NA,NA,NA,NA,NA
"335",NA,NA,NA,NA,NA,NA,NA,NA
"336",NA,NA,NA,NA,NA,NA,NA,NA
"337",NA,NA,NA,NA,NA,NA,NA,NA
"338",NA,NA,NA,NA,NA,NA,NA,NA
"339",NA,NA,NA,NA,NA,NA,NA,NA
"340",NA,NA,NA,NA,NA,NA,NA,NA
"341",NA,NA,NA,NA,NA,NA,NA,NA
"342",NA,NA,NA,NA,NA,NA,NA,NA
"343",NA,NA,NA,NA,NA,NA,NA,NA
"344",NA,NA,NA,NA,NA,NA,NA,NA
"345",NA,NA,NA,NA,NA,NA,NA,NA
"346",NA,NA,NA,NA,NA,NA,NA,NA
"347",NA,NA,NA,NA,NA,NA,NA,NA
"348",NA,NA,NA,NA,NA,NA,NA,NA
"349",NA,NA,NA,NA,NA,NA,NA,NA
"350",NA,NA,NA,NA,NA,NA,NA,NA
"351",NA,NA,NA,NA,NA,NA,NA,NA
"352",NA,NA,NA,NA,NA,NA,NA,NA
"353",NA,NA,NA,NA,NA,NA,NA,NA
"354",NA,NA,NA,NA,NA,NA,NA,NA
"355",NA,NA,NA,NA,NA,NA,NA,NA
"356",NA,NA,NA,NA,NA,NA,NA,NA
"357",NA,NA,NA,NA,NA,NA,NA,NA
"358",NA,NA,NA,NA,NA,NA,NA,NA
"359",NA,NA,NA,NA,NA,NA,NA,NA
"360",NA,NA,NA,NA,NA,NA,NA,NA
"361",NA,NA,NA,NA,NA,NA,NA,NA
"362",NA,NA,NA,NA,NA,NA,NA,NA
"363",NA,NA,NA,NA,NA,NA,NA,NA
"364",NA,NA,NA,NA,NA,NA,NA,NA
"365",NA,NA,NA,NA,NA,NA,NA,NA
